;Mercadoria;Sentido;Tabela_origem;Chegada;Previsto
0;SOJA;Exp;ATRACADOS;20230209;69000.0
1;SULFATO DE AMONIO;Imp;ATRACADOS;20230712;67295.0
2;UREIA;Imp;ATRACADOS;20230911;37100.0
3;METANOL;Imp;ATRACADOS;20230912;9532.0
4;FARELO DE SOJA;Exp;ATRACADOS;20231026;60000.0
5;CLORETOS DE POTASSIO;Imp;ATRACADOS;20231114;42600.0
6;FARELO DE SOJA;Exp;ATRACADOS;20231114;68000.0
7;CLORETO DE POTASSIO;Imp;ATRACADOS;20231115;28700.0
8;AÇÚCAR;Exp;ATRACADOS;20231128;12712.0
9;SULFATO DE AMONIO;Imp;ATRACADOS;20231211;56458.0
10;FOSFATO MONO OU DISSODICO;Imp;ATRACADOS;20231212;8500.0
11;OLEOS BRUTOS DE PETROLEO;Imp;ATRACADOS;20231214;12966.0
12;OUTRAS NAFTAS;Imp;ATRACADOS;20231215;14264.0
13;CONTÊINERES;Imp/Exp;ATRACADOS;20231217;800.0
14;NITRATO DE AMONIO;Imp;PROGRAMADOS;20230312;7000.0
15;UREIA;Imp;PROGRAMADOS;20230312;23792.0
16;AÇÚCAR;Exp;PROGRAMADOS;20230510;33000.0
17;SOJA;Exp;PROGRAMADOS;20230609;69300.0
18;SOJA;Exp;PROGRAMADOS;20230612;67500.0
19;CLORETO DE POTASSIO;Imp;PROGRAMADOS;20230812;20718.0
20;UREIA;Imp;PROGRAMADOS;20231214;22500.0
21;CONTÊINERES;Imp/Exp;PROGRAMADOS;20231216;1020.0
22;FUEL-OIL (OLEO COMBUSTIVEL);Imp/Exp;AO LARGO PARA REATRACAÇÃO;20230512;30000.0
23;FUEL-OIL (OLEO COMBUSTIVEL);Imp;AO LARGO PARA REATRACAÇÃO;20231212;15000.0
24;SOJA;Exp;AO LARGO;20230211;66870.0
25;AÇÚCAR;Exp;AO LARGO;20230212;45200.0
26;FARELO DE SOJA;Exp;AO LARGO;20230212;69458.0
27;AÇÚCAR;Exp;AO LARGO;20230412;33000.0
28;SOJA;Exp;AO LARGO;20230510;68250.0
29;FARELO DE SOJA;Exp;AO LARGO;20230512;63000.0
30;AÇÚCAR;Exp;AO LARGO;20230512;51125.0
31;OUTS.ADUBOS/FERTILIZ.MINER.QUI;Imp;AO LARGO;20230512;144.0
32;CLORETO DE POTASSIO;Imp;AO LARGO;20230512;30144.0
33;CLORETOS DE POTASSIO;Imp;AO LARGO;20230512;45535.0
34;UREIA;Imp;AO LARGO;20230611;65999.0
35;FARELO DE SOJA;Exp;AO LARGO;20230612;45000.0
36;AÇÚCAR;Exp;AO LARGO;20230712;107748.0
37;SOJA;Exp;AO LARGO;20230810;64150.0
38;SOJA;Exp;AO LARGO;20230811;65000.0
39;SOJA;Exp;AO LARGO;20230812;60000.0
40;AÇÚCAR;Exp;AO LARGO;20230912;53003.0
41;MILHO;Exp;AO LARGO;20230917;64000.0
42;SOJA;Exp;AO LARGO;20230917;60000.0
43;SOJA;Exp;AO LARGO;20230920;63000.0
44;SOJA;Exp;AO LARGO;20230921;137590.0
45;MILHO;Exp;AO LARGO;20230923;62000.0
46;SOJA;Exp;AO LARGO;20230925;66775.0
47;SOJA;Exp;AO LARGO;20230926;135566.0
48;MILHO;Exp;AO LARGO;20230928;63640.0
49;SOJA;Exp;AO LARGO;20231010;66000.0
50;AÇÚCAR;Exp;AO LARGO;20231012;40000.0
51;SOJA;Exp;AO LARGO;20231015;68000.0
52;SOJA;Exp;AO LARGO;20231109;65750.0
53;AÇÚCAR;Exp;AO LARGO;20231112;55250.0
54;MAP;Imp;AO LARGO;20231115;29500.0
55;SULFATO DE AMONIO;Imp;AO LARGO;20231120;61400.0
56;FARELO DE SOJA;Exp;AO LARGO;20231123;64500.0
57;CLORETOS DE POTASSIO;Imp;AO LARGO;20231125;44964.0
58;CLORETO DE POTASSIO;Imp;AO LARGO;20231125;68050.0
59;FARELO DE SOJA;Exp;AO LARGO;20231127;65000.0
60;MAP;Imp;AO LARGO;20231129;13500.0
61;FARELO DE SOJA;Exp;AO LARGO;20231130;63099.0
62;SOJA;Exp;AO LARGO;20231211;62000.0
63;AÇÚCAR;Exp;AO LARGO;20231212;107388.0
64;ADUBOS OU FERTILIZANTES C/NITR;Imp;AO LARGO;20231213;44332.0
65;MAP;Imp;AO LARGO;20231213;44332.0
66;FARELO DE SOJA;Exp;AO LARGO;20231213;63500.0
67;SOJA;Exp;AO LARGO;20231214;60000.0
68;SULFATO DE AMONIO;Imp;AO LARGO;20231216;24300.0
69;UREIA;Imp;AO LARGO;20231216;4800.0
70;NITRATO DE POTASSIO,COM TEOR E;Imp;AO LARGO;20231217;59640.0
71;CONTÊINERES;Imp/Exp;AO LARGO;20231217;2300.0
72;ADUBOS OU FERTILIZANTES C/NITR;Imp;AO LARGO;20231217;19259.0
73;SULFATO DE AMONIO;Imp;AO LARGO;20231217;3530.0
74;OUTS.ACUCARES;Exp;AO LARGO;20231218;33103.0
75;CLORETOS DE POTASSIO;Imp;AO LARGO;20231218;15400.0
