;Mercadoria;Sentido;Tabela_origem;Chegada;Previsto
0;DIESEL OLEO;DESC;LIQUIDO GRANEL A;20231204;56262.0
1;NAO GRAN.LIQUIDO ESPECIF;EMB;LIQUIDO GRANEL A;20231208;3750.0
2;LUBRIFICANTE OLEO;EMB;LIQUIDO GRANEL A;20231209;20500.0
3;LUBRIFICANTE OLEO;DESC;LIQUIDO GRANEL A;20231209;3250.0
4;NAO GRAN.LIQUIDO ESPECIF;DESC;LIQUIDO GRANEL A;20231212;10385.0
5;NAO GRAN.LIQUIDO ESPECIF;EMB;LIQUIDO GRANEL A;20231212;7600.0
6;NAO GRAN.LIQUIDO ESPECIF;DESC;LIQUIDO GRANEL A;20231213;2548.0
7;NAO GRAN.LIQUIDO ESPECIF;DESC;LIQUIDO GRANEL A;20231215;2400.0
8;DIESEL OLEO;DESC;LIQUIDO GRANEL A;20231215;41419.0
9;CAUSTICA SODA;DESC;LIQUIDO GRANEL A;20231215;9400.0
10;NAO GRAN.LIQUIDO ESPECIF;EMB;LIQUIDO GRANEL A;20231215;22559.0
11;DIESEL OLEO;DESC;LIQUIDO GRANEL A;20231216;40030.0
12;DIESEL OLEO;EMB;LIQUIDO GRANEL A;20231216;25000.0
13;COMBUSTIVEL OLEO;EMB;LIQUIDO GRANEL A;20231217;50000.0
14;COMUM GASOLINA;EMB;LIQUIDO GRANEL A;20231218;49000.0
15;DIESEL OLEO;EMB;LIQUIDO GRANEL A;20231218;205000.0
16;ETHANOL;EMB;LIQUIDO GRANEL A;20231218;16800.0
17;COMBUSTIVEL OLEO;EMB;LIQUIDO GRANEL A;20231218;116000.0
18;NAO GRAN.LIQUIDO ESPECIF;EMB;LIQUIDO GRANEL A;20231218;28998.0
19;GAS LIQUEFEITO;DESC;LIQUIDO GRANEL A;20231218;10500.0
20;LUBRIFICANTE OLEO;DESC;LIQUIDO GRANEL A;20231218;3000.0
21;NAO GRAN.LIQUIDO ESPECIF;DESC;LIQUIDO GRANEL A;20231219;2400.0
22;COMBUSTIVEL OLEO;EMB;LIQUIDO GRANEL A;20231219;69000.0
23;COMUM GASOLINA;EMB;LIQUIDO GRANEL A;20231219;20000.0
24;ETHANOL PRODUTOS QUIMICOS;EMB;LIQUIDO GRANEL A;20231220;2819.0
25;ETHANOL PRODUTOS QUIMICOS;DESC;LIQUIDO GRANEL A;20231220;4500.0
26;DIESEL OLEO;EMB;LIQUIDO GRANEL A;20231220;35000.0
27;DIESEL OLEO;DESC;LIQUIDO GRANEL A;20231220;29900.0
28;COMBUSTIVEL OLEO;EMB;LIQUIDO GRANEL A;20231220;45000.0
29;NAO GRAN.LIQUIDO ESPECIF;DESC;LIQUIDO GRANEL A;20231221;7000.0
30;CAUSTICA SODA;DESC;LIQUIDO GRANEL A;20231221;11606.0
31;NAO GRAN.LIQUIDO ESPECIF;DESC;LIQUIDO GRANEL A;20231223;2000.0
